ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
5041,train,5,OK,blanc,7.1,0.25,0.28,1.20,0.040,31.0,111,0.99174,3.18,0.53,11.10
5042,train,7,Bon,blanc,5.9,0.27,0.27,5.00,0.035,14.0,97,0.99058,3.10,0.33,11.80
5043,validate,6,OK,blanc,6.0,0.16,0.22,1.60,0.042,36.0,106,0.99050,3.24,0.32,11.40
5044,train,5,OK,blanc,6.7,0.30,0.44,18.75,0.057,65.0,224,0.99956,3.11,0.53,9.10
5045,validate,8,Bon,blanc,6.6,0.15,0.32,6.00,0.033,59.0,128,0.99192,3.19,0.71,12.10
5046,train,6,OK,blanc,7.3,0.34,0.30,9.40,0.057,34.0,178,0.99554,3.15,0.44,10.40
5047,test,6,OK,blanc,6.0,0.17,0.29,9.70,0.044,33.0,98,0.99536,3.12,0.36,9.20
5048,test,7,Bon,blanc,6.7,0.47,0.29,4.75,0.034,29.0,134,0.99056,3.29,0.46,13.00
5049,train,8,Bon,blanc,6.6,0.15,0.32,6.00,0.033,59.0,128,0.99192,3.19,0.71,12.10
5050,train,7,Bon,blanc,6.6,0.21,0.29,5.35,0.029,43.0,106,0.99112,2.93,0.43,11.50
5051,train,7,Bon,blanc,6.6,0.21,0.29,5.35,0.029,43.0,106,0.99112,2.93,0.43,11.50
5052,train,5,OK,blanc,8.0,0.24,0.48,6.80,0.047,13.0,134,0.99616,3.23,0.70,10.00
5053,train,6,OK,blanc,5.6,0.34,0.30,6.90,0.038,23.0,89,0.99266,3.25,0.49,11.10
5054,train,5,OK,blanc,5.8,0.54,0.00,1.40,0.033,40.0,107,0.98918,3.26,0.35,12.40
5055,train,6,OK,blanc,7.3,0.23,0.24,0.90,0.031,29.0,86,0.98926,2.90,0.38,12.20
5056,train,5,OK,blanc,6.0,0.39,0.13,1.20,0.042,60.0,172,0.99114,3.06,0.52,10.60
5057,train,7,Bon,blanc,6.1,0.11,0.31,1.30,0.037,55.0,145,0.99120,3.41,0.41,11.10
5058,train,7,Bon,blanc,5.8,0.32,0.20,2.60,0.027,17.0,123,0.98936,3.36,0.78,13.90
5059,train,6,OK,blanc,7.6,0.22,0.28,12.00,0.056,68.0,143,0.99830,2.99,0.30,9.20
5060,validate,6,OK,blanc,6.8,0.19,0.40,9.85,0.055,41.0,103,0.99532,2.98,0.56,10.50
5061,train,8,Bon,blanc,6.7,0.24,0.30,3.85,0.042,105.0,179,0.99189,3.04,0.59,11.30
5062,train,6,OK,blanc,6.8,0.17,0.34,2.00,0.040,38.0,111,0.99000,3.24,0.45,12.90
5063,train,7,Bon,blanc,6.2,0.30,0.31,1.60,0.035,40.0,106,0.98914,3.26,0.39,12.90
5064,train,5,OK,blanc,6.9,0.29,0.41,7.80,0.046,52.0,171,0.99537,3.12,0.51,9.60
5065,train,6,OK,blanc,6.8,0.19,0.34,1.90,0.040,41.0,108,0.99000,3.25,0.45,12.90
5066,test,6,OK,blanc,6.8,0.17,0.34,2.00,0.040,38.0,111,0.99000,3.24,0.45,12.90
5067,train,5,OK,blanc,6.6,0.24,0.27,10.30,0.047,54.0,219,0.99742,3.04,0.45,8.80
5068,train,8,Bon,blanc,6.6,0.16,0.36,1.10,0.031,27.0,93,0.98884,3.23,0.34,13.20
5069,validate,6,OK,blanc,7.6,0.22,0.28,12.00,0.056,68.0,143,0.99830,2.99,0.30,9.20
5070,train,8,Bon,blanc,6.7,0.24,0.30,3.85,0.042,105.0,179,0.99189,3.04,0.59,11.30
5071,train,6,OK,blanc,6.8,0.19,0.40,9.85,0.055,41.0,103,0.99532,2.98,0.56,10.50
5072,train,6,OK,blanc,6.7,0.16,0.36,2.00,0.045,24.0,131,0.99284,3.30,0.59,10.50
5073,train,8,Bon,blanc,6.5,0.30,0.27,4.00,0.038,37.0,97,0.99026,3.20,0.60,12.60
5074,train,6,OK,blanc,6.5,0.22,0.19,1.10,0.064,36.0,191,0.99297,3.05,0.50,9.50
5075,train,6,OK,blanc,6.2,0.36,0.45,10.40,0.060,22.0,184,0.99711,3.31,0.56,9.80
5076,train,8,Bon,blanc,6.2,0.37,0.24,6.10,0.032,19.0,86,0.98934,3.04,0.26,13.40
5077,train,7,Bon,blanc,7.6,0.31,0.24,1.80,0.037,39.0,150,0.99130,3.05,0.44,11.80
5078,train,6,OK,blanc,6.2,0.36,0.45,10.40,0.060,22.0,184,0.99711,3.31,0.56,9.80
5079,train,7,Bon,blanc,5.9,0.32,0.28,4.70,0.039,34.0,94,0.98964,3.22,0.57,13.10
5080,train,8,Bon,blanc,6.5,0.30,0.27,4.00,0.038,37.0,97,0.99026,3.20,0.60,12.60
5081,train,5,OK,blanc,5.8,0.22,0.30,1.10,0.047,36.0,131,0.99200,3.26,0.45,10.40
5082,train,8,Bon,blanc,5.4,0.45,0.27,6.40,0.033,20.0,102,0.98944,3.22,0.27,13.40
5083,validate,7,Bon,blanc,6.1,0.36,0.26,8.15,0.035,14.0,88,0.99031,3.06,0.27,13.00
5084,validate,8,Bon,blanc,6.2,0.37,0.24,6.10,0.032,19.0,86,0.98934,3.04,0.26,13.40
5085,train,7,Bon,blanc,7.5,0.21,0.32,4.80,0.056,39.0,113,0.99393,3.11,0.52,10.20
5086,train,6,OK,blanc,6.9,0.28,0.33,1.20,0.039,16.0,98,0.99040,3.07,0.39,11.70
5087,test,6,OK,blanc,6.5,0.22,0.19,1.10,0.064,36.0,191,0.99297,3.05,0.50,9.50
5088,train,6,OK,blanc,7.8,0.20,0.20,1.40,0.036,25.0,83,0.99088,3.03,0.46,11.70
5089,train,8,Bon,blanc,6.7,0.28,0.31,7.40,0.041,7.0,81,0.99254,3.04,0.47,11.40
5090,train,7,Bon,blanc,7.6,0.31,0.24,1.80,0.037,39.0,150,0.99130,3.05,0.44,11.80
5091,validate,6,OK,blanc,8.0,0.20,0.44,1.00,0.057,24.0,111,0.99158,3.09,0.32,11.20
5092,train,7,Bon,blanc,6.0,0.28,0.27,15.50,0.036,31.0,134,0.99408,3.19,0.44,13.00
5093,train,7,Bon,blanc,6.0,0.28,0.27,15.50,0.036,31.0,134,0.99408,3.19,0.44,13.00
5094,test,6,OK,blanc,6.7,0.24,0.36,8.40,0.042,42.0,123,0.99473,3.34,0.52,10.90
5095,test,7,Bon,blanc,6.3,0.22,0.28,2.40,0.042,38.0,102,0.98998,3.14,0.37,11.60
5096,train,7,Bon,blanc,6.0,0.24,0.28,3.95,0.038,61.0,134,0.99146,3.30,0.54,11.30
5097,train,6,OK,blanc,7.7,0.43,1.00,19.95,0.032,42.0,164,0.99742,3.29,0.50,12.00
5098,train,6,OK,blanc,6.4,0.30,0.36,2.00,0.052,18.0,141,0.99273,3.38,0.53,10.50
5099,test,7,Bon,blanc,6.1,0.33,0.30,3.00,0.036,30.0,124,0.98922,3.31,0.40,13.10
5100,train,7,Bon,blanc,6.0,0.28,0.27,15.50,0.036,31.0,134,0.99408,3.19,0.44,13.00
5101,test,6,OK,blanc,6.7,0.24,0.36,8.40,0.042,42.0,123,0.99473,3.34,0.52,10.90
5102,train,5,OK,blanc,6.7,0.29,0.45,14.30,0.054,30.0,181,0.99869,3.14,0.57,9.10
5103,validate,7,Bon,blanc,6.9,0.33,0.31,4.20,0.040,21.0,93,0.98960,3.18,0.48,13.40
5104,train,7,Bon,blanc,6.5,0.16,0.34,1.40,0.029,29.0,133,0.99108,3.33,0.64,11.50
5105,train,7,Bon,blanc,6.0,0.20,0.32,3.00,0.031,26.0,118,0.99134,3.38,0.68,11.20
5106,train,6,OK,blanc,7.5,0.33,0.28,4.90,0.042,21.0,155,0.99385,3.36,0.57,10.90
5107,test,7,Bon,blanc,7.1,0.36,0.28,2.40,0.036,35.0,115,0.98936,3.19,0.44,13.50
5108,test,5,OK,blanc,6.7,0.29,0.45,14.30,0.054,30.0,181,0.99869,3.14,0.57,9.10
5109,test,6,OK,blanc,6.4,0.26,0.25,10.70,0.046,66.0,179,0.99606,3.17,0.55,9.90
5110,test,6,OK,blanc,7.0,0.22,0.24,11.00,0.041,75.0,167,0.99508,2.98,0.56,10.50
5111,validate,7,Bon,blanc,6.5,0.19,0.28,1.40,0.046,22.0,90,0.99038,3.18,0.51,11.70
5112,test,6,OK,blanc,6.3,0.21,0.31,1.20,0.043,30.0,117,0.99158,3.49,0.68,11.00
5113,train,6,OK,blanc,7.9,0.35,0.28,12.90,0.032,13.0,63,0.99320,2.99,0.43,13.00
5114,validate,6,OK,blanc,7.7,0.38,0.23,10.80,0.030,28.0,95,0.99164,2.93,0.41,13.60
5115,train,7,Bon,blanc,6.8,0.19,0.33,1.30,0.031,22.0,87,0.98987,3.08,0.62,12.30
5116,train,7,Bon,blanc,7.2,0.33,0.34,2.00,0.044,61.0,171,0.98947,3.25,0.53,13.30
5117,train,7,Bon,blanc,6.6,0.29,0.29,1.80,0.036,38.0,102,0.98819,3.08,0.42,13.70
5118,train,5,OK,blanc,7.5,0.20,0.41,1.20,0.050,26.0,131,0.99133,3.19,0.52,11.10
5119,validate,7,Bon,blanc,6.9,0.33,0.62,7.50,0.038,46.0,132,0.99143,3.23,0.43,13.40
5120,train,5,OK,blanc,6.0,0.23,0.15,9.70,0.048,101.0,207,0.99571,3.05,0.30,9.10
5121,validate,7,Bon,blanc,5.9,0.23,0.24,3.80,0.038,61.0,152,0.99139,3.31,0.50,11.30
5122,validate,5,OK,blanc,6.6,0.32,0.41,7.20,0.048,55.0,178,0.99537,3.20,0.46,9.40
5123,train,5,OK,blanc,6.0,0.23,0.15,9.70,0.048,101.0,207,0.99571,3.05,0.30,9.10
5124,train,6,OK,blanc,5.3,0.36,0.27,6.30,0.028,40.0,132,0.99186,3.37,0.40,11.60
5125,train,6,OK,blanc,5.3,0.36,0.27,6.30,0.028,40.0,132,0.99186,3.37,0.40,11.60
5126,validate,6,OK,blanc,8.9,0.27,0.28,0.80,0.024,29.0,128,0.98984,3.01,0.35,12.40
5127,validate,6,OK,blanc,7.6,0.23,0.29,8.60,0.053,65.0,146,0.99630,3.11,0.32,9.80
5128,train,4,Mauvais,blanc,6.9,0.75,0.13,6.30,0.036,19.0,50,0.99312,3.09,0.25,11.10
5129,train,7,Bon,blanc,7.1,0.35,0.27,3.10,0.034,28.0,134,0.98970,3.26,0.38,13.10
5130,train,5,OK,blanc,7.2,0.31,0.35,7.20,0.046,45.0,178,0.99550,3.14,0.53,9.70
5131,train,5,OK,blanc,6.4,0.28,0.44,7.10,0.048,49.0,179,0.99528,3.15,0.48,9.20
5132,train,6,OK,blanc,7.2,0.23,0.46,6.40,0.036,17.0,85,0.99279,3.10,0.78,11.70
5133,train,6,OK,blanc,6.6,0.22,0.30,14.70,0.045,50.0,136,0.99704,3.14,0.37,10.60
5134,train,5,OK,blanc,7.2,0.31,0.35,7.20,0.046,45.0,178,0.99550,3.14,0.53,9.70
5135,validate,5,OK,blanc,6.4,0.28,0.44,7.10,0.048,49.0,179,0.99528,3.15,0.48,9.20
5136,validate,6,OK,blanc,7.2,0.24,0.28,1.90,0.032,30.0,92,0.99140,3.10,0.39,10.90
5137,test,5,OK,blanc,6.2,0.27,0.47,1.20,0.146,28.0,105,0.99224,3.23,0.51,10.10
5138,train,7,Bon,blanc,6.5,0.28,0.25,4.80,0.029,54.0,128,0.99074,3.17,0.44,12.20
5139,test,6,OK,blanc,7.2,0.27,0.31,1.20,0.031,27.0,80,0.98892,3.03,0.33,12.70
5140,test,6,OK,blanc,7.8,0.28,0.25,3.40,0.024,27.0,99,0.98959,2.98,0.37,13.00
5141,train,6,OK,blanc,8.1,0.26,0.27,4.30,0.030,43.0,123,0.99212,3.16,0.33,11.20
5142,train,6,OK,blanc,6.6,0.23,0.37,8.50,0.036,46.0,153,0.99576,3.20,0.48,9.40
5143,validate,6,OK,blanc,6.0,0.33,0.20,1.80,0.031,49.0,159,0.99190,3.41,0.53,11.00
5144,train,6,OK,blanc,6.0,0.33,0.20,1.80,0.031,49.0,159,0.99190,3.41,0.53,11.00
5145,train,6,OK,blanc,7.3,0.20,0.29,19.50,0.039,69.0,237,1.00037,3.10,0.48,9.20
5146,test,6,OK,blanc,6.6,0.23,0.37,8.50,0.036,46.0,153,0.99576,3.20,0.48,9.40
5147,validate,6,OK,blanc,7.3,0.20,0.29,19.90,0.039,69.0,237,1.00037,3.10,0.48,9.20
5148,train,6,OK,blanc,6.2,0.47,0.19,8.30,0.029,24.0,142,0.99200,3.22,0.45,12.30
5149,train,6,OK,blanc,6.0,0.33,0.20,1.80,0.031,49.0,159,0.99190,3.41,0.53,11.00
5150,train,6,OK,blanc,7.2,0.14,0.32,1.10,0.022,48.0,116,0.99218,3.04,0.67,10.00
5151,train,6,OK,blanc,5.7,0.22,0.22,16.65,0.044,39.0,110,0.99855,3.24,0.48,9.00
5152,test,6,OK,blanc,5.7,0.22,0.22,16.65,0.044,39.0,110,0.99855,3.24,0.48,9.00
5153,train,6,OK,blanc,5.7,0.22,0.22,16.65,0.044,39.0,110,0.99855,3.24,0.48,9.00
5154,validate,6,OK,blanc,8.1,0.20,0.28,0.90,0.023,49.0,87,0.99062,2.92,0.36,11.10
5155,validate,6,OK,blanc,5.8,0.14,0.15,6.10,0.042,27.0,123,0.99362,3.06,0.60,9.90
5156,train,7,Bon,blanc,4.8,0.21,0.21,10.20,0.037,17.0,112,0.99324,3.66,0.48,12.20
5157,train,6,OK,blanc,8.1,0.20,0.28,0.90,0.023,49.0,87,0.99062,2.92,0.36,11.10
5158,train,6,OK,blanc,5.7,0.22,0.22,16.65,0.044,39.0,110,0.99855,3.24,0.48,9.00
5159,test,4,Mauvais,blanc,7.5,0.34,0.24,3.85,0.031,5.0,34,0.99098,3.01,0.36,11.80
5160,train,6,OK,blanc,6.6,0.64,0.28,4.40,0.032,19.0,78,0.99036,3.11,0.62,12.90
5161,train,5,OK,blanc,7.0,0.48,0.12,4.50,0.050,23.0,86,0.99398,2.86,0.35,9.00
5162,test,6,OK,blanc,7.6,0.37,0.34,3.20,0.028,42.0,162,0.99030,3.01,0.33,12.40
5163,train,5,OK,blanc,7.0,0.48,0.12,4.50,0.050,23.0,86,0.99398,2.86,0.35,9.00
5164,train,6,OK,blanc,6.6,0.64,0.28,4.40,0.032,19.0,78,0.99036,3.11,0.62,12.90
5165,test,6,OK,blanc,8.0,0.25,0.27,9.70,0.036,15.0,85,0.99406,2.99,0.36,11.20
5166,train,6,OK,blanc,7.6,0.38,0.28,4.20,0.029,7.0,112,0.99060,3.00,0.41,12.60
5167,validate,6,OK,blanc,6.9,0.26,0.27,4.20,0.031,20.0,80,0.99089,3.12,0.39,11.50
5168,train,7,Bon,blanc,7.8,0.15,0.34,1.10,0.035,31.0,93,0.99096,3.07,0.72,11.30
5169,train,6,OK,blanc,8.0,0.25,0.27,9.70,0.036,15.0,85,0.99406,2.99,0.36,11.20
5170,train,6,OK,blanc,6.9,0.26,0.27,4.20,0.031,20.0,80,0.99089,3.12,0.39,11.50
5171,train,4,Mauvais,blanc,5.9,0.66,0.00,5.60,0.033,8.0,31,0.99360,3.32,0.51,10.50
5172,validate,6,OK,blanc,7.6,0.38,0.28,4.20,0.029,7.0,112,0.99060,3.00,0.41,12.60
5173,train,6,OK,blanc,7.8,0.31,0.40,1.60,0.027,20.0,87,0.99110,3.15,0.48,11.90
5174,train,6,OK,blanc,8.1,0.17,0.21,1.60,0.036,24.0,119,0.99396,3.18,0.52,10.10
5175,validate,7,Bon,blanc,6.8,0.18,0.28,1.10,0.027,32.0,112,0.99089,3.15,0.45,11.00
5176,validate,5,OK,blanc,7.4,0.28,0.36,14.60,0.048,35.0,161,0.99680,3.14,0.56,10.60
5177,test,7,Bon,blanc,7.3,0.23,0.27,2.60,0.035,39.0,120,0.99138,3.04,0.59,11.30
5178,validate,4,Mauvais,blanc,6.7,0.22,0.22,1.20,0.038,5.0,124,0.99098,3.10,0.37,11.20
5179,train,7,Bon,blanc,7.4,0.25,0.28,7.25,0.028,14.0,78,0.99238,2.94,0.37,11.50
5180,train,5,OK,blanc,7.5,0.30,0.21,6.55,0.026,33.0,143,0.99244,2.92,0.35,11.10
5181,train,7,Bon,blanc,7.2,0.26,0.24,7.00,0.023,19.0,130,0.99176,3.14,0.49,12.80
5182,train,6,OK,blanc,6.3,0.32,0.32,1.50,0.037,12.0,76,0.98993,3.30,0.46,12.30
5183,validate,6,OK,blanc,7.7,0.24,0.30,1.40,0.041,15.0,102,0.99290,3.26,0.53,10.40
5184,validate,7,Bon,blanc,7.4,0.25,0.28,7.25,0.028,14.0,78,0.99238,2.94,0.37,11.50
5185,validate,7,Bon,blanc,7.0,0.24,0.35,1.00,0.032,42.0,104,0.98988,3.16,0.37,11.70
5186,train,7,Bon,blanc,5.8,0.28,0.28,4.20,0.044,52.0,158,0.99200,3.35,0.44,10.70
5187,train,6,OK,blanc,6.8,0.19,0.71,17.50,0.042,21.0,114,0.99784,2.85,0.50,9.50
5188,train,6,OK,blanc,6.8,0.19,0.71,17.50,0.042,21.0,114,0.99784,2.85,0.50,9.50
5189,validate,6,OK,blanc,6.8,0.19,0.71,17.50,0.042,21.0,114,0.99784,2.85,0.50,9.50
5190,train,7,Bon,blanc,6.6,0.19,0.35,1.50,0.037,37.0,107,0.99006,3.18,0.68,12.00
5191,train,5,OK,blanc,6.4,0.28,0.36,1.30,0.053,28.0,186,0.99211,3.31,0.45,10.80
5192,train,7,Bon,blanc,5.6,0.28,0.27,3.90,0.043,52.0,158,0.99202,3.35,0.44,10.70
5193,train,7,Bon,blanc,5.6,0.28,0.28,4.20,0.044,52.0,158,0.99200,3.35,0.44,10.70
5194,train,7,Bon,blanc,6.8,0.19,0.32,7.60,0.049,37.0,107,0.99332,3.12,0.44,10.70
5195,train,7,Bon,blanc,7.2,0.16,0.29,1.00,0.031,40.0,123,0.98958,3.12,0.40,12.10
5196,test,7,Bon,blanc,6.6,0.17,0.28,1.10,0.034,55.0,108,0.98939,3.00,0.52,11.90
5197,train,6,OK,blanc,6.6,0.19,0.28,11.80,0.042,54.0,137,0.99492,3.18,0.37,10.80
5198,train,7,Bon,blanc,5.8,0.20,0.24,1.40,0.033,65.0,169,0.99043,3.59,0.56,12.30
5199,validate,6,OK,blanc,6.6,0.39,0.38,9.70,0.053,49.0,226,0.99787,3.30,0.57,9.40
5200,test,6,OK,blanc,6.8,0.12,0.30,12.90,0.049,32.0,88,0.99654,3.20,0.35,9.90
5201,validate,7,Bon,blanc,6.6,0.30,0.24,1.60,0.039,29.0,140,0.99304,3.35,0.61,10.40
5202,train,6,OK,blanc,6.6,0.26,0.24,7.20,0.038,28.0,137,0.99520,3.35,0.60,10.40
5203,test,7,Bon,blanc,7.0,0.32,0.27,7.10,0.027,37.0,122,0.99165,3.15,0.60,12.60
5204,train,6,OK,blanc,7.4,0.36,0.23,1.90,0.017,31.0,69,0.98920,2.93,0.36,12.50
5205,train,5,OK,blanc,6.7,0.35,0.48,8.80,0.056,35.0,167,0.99628,3.04,0.47,9.40
5206,train,5,OK,blanc,6.4,0.38,0.24,7.20,0.047,41.0,151,0.99604,3.11,0.60,9.20
5207,train,6,OK,blanc,6.8,0.14,0.18,1.40,0.047,30.0,90,0.99164,3.27,0.54,11.20
5208,train,6,OK,blanc,7.0,0.16,0.25,14.30,0.044,27.0,149,0.99800,2.91,0.46,9.20
5209,train,6,OK,blanc,7.0,0.16,0.25,14.30,0.044,27.0,149,0.99800,2.91,0.46,9.20
5210,test,5,OK,blanc,6.7,0.35,0.48,8.80,0.056,35.0,167,0.99628,3.04,0.47,9.40
5211,validate,6,OK,blanc,6.8,0.14,0.18,1.40,0.047,30.0,90,0.99164,3.27,0.54,11.20
5212,train,6,OK,blanc,6.8,0.16,0.18,1.80,0.046,31.0,114,0.99226,3.27,0.55,10.80
5213,train,6,OK,blanc,7.0,0.16,0.25,14.30,0.044,27.0,149,0.99800,2.91,0.46,9.20
5214,train,5,OK,blanc,6.4,0.38,0.24,7.20,0.047,41.0,151,0.99604,3.11,0.60,9.20
5215,validate,6,OK,blanc,7.2,0.24,0.30,1.20,0.037,11.0,95,0.98914,2.96,0.36,12.50
5216,validate,5,OK,blanc,7.7,0.32,0.61,11.80,0.041,66.0,188,0.99794,3.00,0.54,9.30
5217,test,5,OK,blanc,7.0,0.29,0.33,0.90,0.041,20.0,117,0.99048,3.21,0.50,11.40
5218,train,7,Bon,blanc,7.1,0.27,0.24,12.60,0.044,48.0,118,0.99726,3.04,0.56,10.00
5219,train,6,OK,blanc,6.8,0.45,0.28,26.05,0.031,27.0,122,1.00295,3.06,0.42,10.60
5220,validate,7,Bon,blanc,6.3,0.20,0.26,4.70,0.040,108.0,168,0.99278,3.07,0.75,10.70
5221,train,7,Bon,blanc,7.1,0.27,0.24,12.60,0.044,48.0,118,0.99726,3.04,0.56,10.00
5222,train,6,OK,blanc,7.2,0.24,0.30,1.20,0.037,11.0,95,0.98914,2.96,0.36,12.50
5223,test,6,OK,blanc,6.8,0.45,0.28,26.05,0.031,27.0,122,1.00295,3.06,0.42,10.60
5224,train,7,Bon,blanc,6.6,0.36,0.28,6.10,0.029,12.0,93,0.99054,3.19,0.27,12.80
5225,validate,5,OK,blanc,7.7,0.32,0.61,11.80,0.041,66.0,188,0.99794,3.00,0.54,9.30
5226,train,5,OK,blanc,7.0,0.29,0.33,0.90,0.041,20.0,117,0.99048,3.21,0.50,11.40
5227,train,5,OK,blanc,6.4,0.37,0.20,5.60,0.117,61.0,183,0.99459,3.24,0.43,9.50
5228,test,6,OK,blanc,6.4,0.38,0.20,5.30,0.117,57.0,181,0.99459,3.24,0.43,9.50
5229,test,6,OK,blanc,6.4,0.36,0.20,5.70,0.118,61.0,172,0.99460,3.24,0.43,9.50
5230,train,6,OK,blanc,6.6,0.30,0.25,8.00,0.036,21.0,124,0.99362,3.06,0.38,10.80
5231,test,6,OK,blanc,6.6,0.30,0.25,8.00,0.036,21.0,124,0.99362,3.06,0.38,10.80
5232,test,6,OK,blanc,6.5,0.21,0.51,17.60,0.045,34.0,125,0.99966,3.20,0.47,8.80
5233,test,6,OK,blanc,6.6,0.30,0.25,8.00,0.036,21.0,124,0.99362,3.06,0.38,10.80
5234,train,7,Bon,blanc,7.6,0.31,0.27,8.80,0.021,57.0,156,0.99442,3.08,0.38,11.00
5235,train,6,OK,blanc,5.8,0.58,0.00,1.50,0.020,33.0,96,0.98918,3.29,0.38,12.40
5236,train,7,Bon,blanc,6.5,0.26,0.39,1.40,0.020,12.0,66,0.99089,3.25,0.75,11.30
5237,train,7,Bon,blanc,8.7,0.30,0.34,4.80,0.018,23.0,127,0.99474,3.12,0.49,11.20
5238,test,7,Bon,blanc,6.4,0.29,0.32,2.40,0.014,34.0,89,0.99008,3.24,0.66,12.50
5239,train,6,OK,blanc,6.7,0.13,0.32,3.70,0.017,32.0,99,0.99348,3.12,0.44,10.00
5240,validate,6,OK,blanc,6.8,0.19,0.33,4.90,0.047,42.0,130,0.99283,3.12,0.56,11.00
5241,train,6,OK,blanc,6.0,0.25,0.40,5.70,0.052,56.0,152,0.99398,3.16,0.88,10.50
5242,train,6,OK,blanc,6.0,0.25,0.40,5.70,0.052,56.0,152,0.99398,3.16,0.88,10.50
5243,train,6,OK,blanc,6.8,0.19,0.33,4.90,0.047,42.0,130,0.99283,3.12,0.56,11.00
5244,train,7,Bon,blanc,6.4,0.24,0.23,2.00,0.046,30.0,133,0.99080,3.12,0.54,11.40
5245,validate,6,OK,blanc,5.9,0.18,0.28,5.10,0.039,50.0,139,0.99165,3.16,0.44,11.30
5246,test,7,Bon,blanc,7.2,0.33,0.22,4.50,0.031,10.0,73,0.99076,2.97,0.52,12.20
5247,train,7,Bon,blanc,6.4,0.29,0.24,3.20,0.037,31.0,95,0.98942,2.90,0.66,12.60
5248,train,5,OK,blanc,7.3,0.31,0.25,6.65,0.032,30.0,138,0.99244,2.90,0.37,11.10
5249,test,6,OK,blanc,7.0,0.29,0.37,1.60,0.035,34.0,126,0.99058,3.26,0.47,12.30
5250,train,4,Mauvais,blanc,6.9,0.19,0.60,4.00,0.037,6.0,122,0.99255,2.92,0.59,10.40
5251,train,6,OK,blanc,6.3,0.32,0.17,17.75,0.060,51.0,190,0.99916,3.13,0.48,8.80
5252,validate,6,OK,blanc,6.6,0.09,0.33,1.40,0.036,17.0,109,0.99306,3.27,0.61,9.50
5253,train,6,OK,blanc,6.3,0.32,0.17,17.75,0.060,51.0,190,0.99916,3.13,0.48,8.80
5254,validate,6,OK,blanc,6.8,0.18,0.32,7.20,0.047,17.0,109,0.99498,3.42,0.44,10.40
5255,train,7,Bon,blanc,6.8,0.52,0.26,5.70,0.038,27.0,130,0.99000,3.11,0.27,13.00
5256,train,7,Bon,blanc,7.1,0.28,0.28,8.50,0.030,25.0,191,0.99338,3.16,0.46,12.20
5257,train,8,Bon,blanc,5.7,0.15,0.47,11.40,0.035,49.0,128,0.99456,3.03,0.34,10.50
5258,validate,7,Bon,blanc,5.8,0.28,0.30,5.40,0.043,41.0,149,0.99260,3.33,0.42,10.80
5259,train,8,Bon,blanc,5.4,0.53,0.16,2.70,0.036,34.0,128,0.98856,3.20,0.53,13.20
5260,validate,8,Bon,blanc,5.8,0.32,0.28,4.30,0.032,46.0,115,0.98946,3.16,0.57,13.00
5261,train,6,OK,blanc,6.7,0.22,0.39,1.20,0.049,26.0,152,0.99346,3.50,0.47,10.00
5262,train,4,Mauvais,blanc,6.1,0.60,0.12,1.80,0.050,11.0,76,0.99268,3.42,0.48,10.40
5263,train,6,OK,blanc,6.5,0.26,0.31,1.30,0.034,59.0,145,0.98944,3.16,0.54,12.40
5264,train,8,Bon,blanc,5.0,0.29,0.54,5.70,0.035,54.0,155,0.98976,3.27,0.34,12.90
5265,train,8,Bon,blanc,5.4,0.53,0.16,2.70,0.036,34.0,128,0.98856,3.20,0.53,13.20
5266,train,7,Bon,blanc,6.8,0.21,0.26,11.70,0.038,61.0,152,0.99523,3.02,0.56,10.50
5267,train,8,Bon,blanc,5.8,0.32,0.28,4.30,0.032,46.0,115,0.98946,3.16,0.57,13.00
5268,train,5,OK,blanc,6.5,0.27,0.26,11.00,0.030,2.0,82,0.99402,3.07,0.36,11.20
5269,train,7,Bon,blanc,5.9,0.37,0.32,1.60,0.029,41.0,102,0.98916,3.41,0.55,12.70
5270,train,6,OK,blanc,6.2,0.21,0.18,11.60,0.044,61.0,155,0.99655,3.14,0.52,9.40
5271,test,7,Bon,blanc,6.8,0.30,0.29,6.20,0.025,29.0,95,0.99071,3.03,0.32,12.90
5272,validate,8,Bon,blanc,7.3,0.41,0.29,1.80,0.032,26.0,74,0.98889,2.96,0.35,13.00
5273,train,7,Bon,blanc,5.4,0.30,0.30,1.20,0.029,25.0,93,0.98742,3.31,0.40,13.60
5274,train,5,OK,blanc,6.6,0.34,0.20,1.00,0.053,26.0,112,0.99336,3.32,0.55,9.10
5275,train,6,OK,blanc,5.6,0.25,0.19,2.40,0.049,42.0,166,0.99200,3.25,0.43,10.40
5276,train,7,Bon,blanc,5.3,0.30,0.30,1.20,0.029,25.0,93,0.98742,3.31,0.40,13.60
5277,validate,6,OK,blanc,6.9,0.58,0.58,8.20,0.032,29.0,169,0.99275,3.28,0.44,12.20
5278,test,5,OK,blanc,7.2,0.23,0.25,18.80,0.085,19.0,111,1.00044,3.10,0.51,8.70
5279,train,7,Bon,blanc,7.1,0.20,0.27,9.60,0.037,19.0,105,0.99444,3.04,0.37,10.50
5280,validate,6,OK,blanc,6.8,0.15,0.41,12.90,0.044,79.5,183,0.99742,3.24,0.78,10.20
5281,train,8,Bon,blanc,7.0,0.22,0.26,9.20,0.027,37.0,122,0.99228,3.06,0.34,12.50
